02-22-2020_02-23,0,9.1,8.0,10.0
02-22-2020_02-29,0,10.0,10.0,10.0
02-22-2020_02-29,1,10.0,10.0,10.0
02-22-2020_02-29,2,10.0,10.0,10.0
02-22-2020_02-30,3,9.0,9.0,9.0
02-22-2020_02-30,4,10.0,10.0,10.0
02-22-2020_02-32,0,10.36,10.0,27.0
02-22-2020_02-37,1,16.4,8.0,93.0
02-22-2020_02-46,2,109.24,8.0,300.0
02-22-2020_02-58,3,300.0,300.0,300.0
02-22-2020_03-14,4,300.0,300.0,300.0
02-22-2020_03-35,5,300.0,300.0,300.0
02-22-2020_03-58,6,300.0,300.0,300.0
02-22-2020_04-25,7,300.0,300.0,300.0
02-22-2020_04-56,8,300.0,300.0,300.0
02-22-2020_05-31,9,300.0,300.0,300.0
02-22-2020_06-09,10,300.0,300.0,300.0
02-22-2020_06-51,11,293.6,290.0,300.0
02-22-2020_07-37,12,300.0,300.0,300.0
02-22-2020_08-26,13,300.0,300.0,300.0
02-22-2020_09-20,14,300.0,300.0,300.0
02-22-2020_10-17,15,300.0,300.0,300.0
02-22-2020_11-18,16,300.0,300.0,300.0
02-22-2020_12-23,17,300.0,300.0,300.0
02-22-2020_13-03,0,10.2,9.0,13.0
02-22-2020_13-03,1,11.5,9.0,16.0
02-22-2020_13-03,2,17.6,12.0,26.0
02-22-2020_13-04,3,23.0,23.0,23.0
02-22-2020_13-04,4,30.0,30.0,30.0
02-22-2020_13-05,5,23.7,16.0,44.0
02-22-2020_13-05,6,28.0,26.0,30.0
02-22-2020_13-06,7,22.0,22.0,22.0
02-22-2020_13-06,8,20.9,20.0,26.0
02-22-2020_13-07,9,22.1,17.0,27.0
02-26-2020_16-26,0,10.0,9.0,15.0
02-26-2020_16-26,1,17.1,10.0,33.0
02-26-2020_16-26,2,40.0,21.0,56.0
02-26-2020_16-30,0,55.9,17.0,133.0
02-26-2020_16-31,1,123.8,75.0,218.0
02-26-2020_16-31,2,206.8,155.0,248.0
02-26-2020_16-31,3,241.0,239.0,250.0
02-26-2020_16-32,4,255.2,229.0,295.0
02-26-2020_16-32,5,300.0,300.0,300.0
02-26-2020_16-33,6,291.4,287.0,300.0
02-26-2020_16-34,7,294.0,288.0,300.0
02-26-2020_16-34,8,300.0,300.0,300.0
02-26-2020_16-41,0,14.75,8.0,75.0
02-26-2020_16-41,1,81.5,48.0,115.0
02-26-2020_16-42,2,90.35,79.0,153.0
02-26-2020_16-43,3,143.05,84.0,294.0
02-26-2020_16-45,4,204.4,151.0,273.0
02-26-2020_16-53,0,9.4,9.0,10.0
02-26-2020_16-53,1,10.1,10.0,11.0
02-26-2020_16-53,2,10.0,10.0,10.0
02-26-2020_16-53,3,10.0,10.0,10.0
02-26-2020_16-54,4,9.4,8.0,11.0
02-26-2020_16-55,5,10.5,10.0,11.0
02-26-2020_16-55,0,10.0,10.0,10.0
02-26-2020_16-56,1,10.0,10.0,10.0
02-26-2020_16-57,2,9.4,8.0,11.0
02-26-2020_16-58,3,10.5,10.0,11.0
02-26-2020_16-59,4,9.4,9.0,10.0
02-26-2020_17-01,5,10.05,10.0,11.0
02-26-2020_17-03,6,10.05,10.0,11.0
02-26-2020_17-05,7,10.0,10.0,10.0
02-26-2020_19-03,0,9.45,9.0,11.0
02-26-2020_19-03,1,10.25,9.0,15.0
02-26-2020_19-04,2,20.0,11.0,37.0
02-26-2020_19-05,3,52.0,39.0,65.0
02-26-2020_19-06,4,57.05,17.0,98.0
02-26-2020_19-08,5,38.05,21.0,80.0
02-26-2020_19-09,6,57.0,57.0,57.0
02-26-2020_19-10,0,9.4,9.0,10.0
02-26-2020_19-10,1,10.1,10.0,11.0
02-26-2020_19-10,2,10.0,10.0,10.0
02-26-2020_19-10,3,10.0,10.0,10.0
02-26-2020_19-11,0,11.4,9.0,29.0
02-26-2020_19-11,1,25.3,8.0,52.0
02-26-2020_19-11,2,284.0,68.0,500.0
02-26-2020_19-12,3,101.3,9.0,500.0
02-26-2020_19-12,4,66.5,63.0,70.0
02-26-2020_19-12,5,105.0,105.0,105.0
02-26-2020_19-13,6,115.6,8.0,500.0
02-26-2020_19-14,7,278.5,57.0,500.0
02-26-2020_19-14,8,67.0,67.0,67.0
02-26-2020_19-15,0,228.0,10.0,500.0
02-26-2020_19-15,1,500.0,500.0,500.0
02-26-2020_19-15,2,500.0,500.0,500.0
02-26-2020_19-16,3,500.0,500.0,500.0
02-26-2020_19-16,4,500.0,500.0,500.0
02-26-2020_19-17,0,9.4,9.0,10.0
02-26-2020_19-17,1,10.1,10.0,11.0
02-26-2020_19-18,2,10.0,10.0,10.0
02-26-2020_19-18,3,10.0,10.0,10.0
02-26-2020_19-18,4,9.2,8.0,11.0
02-26-2020_19-18,5,10.0,10.0,10.0
02-26-2020_19-19,6,9.4,9.0,11.0
02-26-2020_19-19,7,10.0,10.0,10.0
02-26-2020_19-20,8,9.2,8.0,10.0
02-26-2020_19-21,0,13.9,10.0,45.0
02-26-2020_19-21,1,31.2,13.0,67.0
02-26-2020_19-21,2,32.0,32.0,32.0
02-26-2020_19-21,3,28.0,28.0,28.0
02-26-2020_19-22,4,31.0,31.0,31.0
02-26-2020_19-22,5,43.0,43.0,43.0
02-26-2020_19-22,6,36.0,36.0,36.0
02-26-2020_19-23,7,27.2,10.0,62.0
02-26-2020_19-24,8,68.5,15.0,309.0
02-26-2020_19-24,9,222.6,10.0,500.0
02-26-2020_19-25,10,500.0,500.0,500.0
02-26-2020_19-26,11,500.0,500.0,500.0
02-26-2020_19-27,12,500.0,500.0,500.0
02-26-2020_19-29,13,500.0,500.0,500.0
02-26-2020_19-30,14,500.0,500.0,500.0
02-26-2020_19-31,15,500.0,500.0,500.0
02-26-2020_19-33,16,500.0,500.0,500.0
02-26-2020_19-34,17,500.0,500.0,500.0
02-26-2020_19-35,18,500.0,500.0,500.0
02-26-2020_19-37,19,500.0,500.0,500.0
